colonne,min_fin_fenetre,id_joueur,date_match,moment,mean,std,skewness,kurtosis,RMS,IQR,Q10,Q25,median,Q75,Q90,prop_sup_seuil
ACC X,15,joueur_03,match_20220807,MT1,-0.0780889,0.325056,-0.171859,9.53249,0.334304,0.942204,-0.386239,-0.223831,-0.0804277,0.0603341,0.235007,
ACC Y,15,joueur_03,match_20220807,MT1,-0.91211,0.636594,-0.146176,1.60493,1.11229,2.3809,-1.67522,-1.15683,-0.91829,-0.726871,0.020284,
ACC Z,15,joueur_03,match_20220807,MT1,-0.349086,0.317887,-1.14024,4.34994,0.472137,0.987166,-0.76882,-0.488009,-0.277885,-0.164872,-0.0517673,
GYRO X,15,joueur_03,match_20220807,MT1,5.8899,40.1794,0.271952,8.3213,40.6088,115.859,-32.6031,-10.6606,5.35298,22.4585,43.2869,
GYRO Y,15,joueur_03,match_20220807,MT1,2.74496,84.8873,-0.0167596,2.80347,84.9317,302.192,-97.9896,-30.397,2.61281,37.4961,100.305,
GYRO Z,15,joueur_03,match_20220807,MT1,4.2668,48.7939,-0.047594,7.06818,48.9801,154.78,-43.9234,-15.3638,3.88775,24.7948,53.1774,
NormeGradAcc,15,joueur_03,match_20220807,MT1,0.0424767,0.0492058,1.96011,4.31262,0.0650037,0.146827,0.00474769,0.00943484,0.0218178,0.0594853,0.114271,0.19279645191409897
NormeGradGyro,15,joueur_03,match_20220807,MT1,4.53899,5.19645,2.69689,10.7192,6.89967,14.1476,0.779945,1.35355,2.48022,5.92368,10.9714,
ACC X,30,joueur_03,match_20220807,MT1,-0.0689939,0.262551,-0.335547,15.8464,0.271465,0.771678,-0.323155,-0.185979,-0.0658384,0.0470412,0.182452,
ACC Y,30,joueur_03,match_20220807,MT1,-0.852415,0.619452,0.109516,1.2901,1.05372,2.32197,-1.43205,-1.09963,-0.913369,-0.733188,0.163802,
ACC Z,30,joueur_03,match_20220807,MT1,-0.355904,0.30994,-0.828831,4.14622,0.471944,0.967857,-0.837391,-0.494224,-0.272318,-0.164999,-0.0778431,
GYRO X,30,joueur_03,match_20220807,MT1,5.69458,34.293,0.281395,9.3504,34.7626,98.5411,-26.8373,-8.04688,5.60503,19.5759,37.3301,
GYRO Y,30,joueur_03,match_20220807,MT1,3.43221,73.4656,-0.174844,4.67703,73.5457,259.421,-70.9499,-21.1054,3.48865,28.2094,77.363,
GYRO Z,30,joueur_03,match_20220807,MT1,4.00551,39.9607,0.0801231,6.80098,40.161,128.953,-33.3919,-11.6802,3.7755,20.1355,41.4063,
NormeGradAcc,30,joueur_03,match_20220807,MT1,0.0325759,0.0417584,2.47729,8.16387,0.0529618,0.12353,0.00383654,0.00717878,0.0160937,0.0371418,0.0894065,0.13586834733893557
NormeGradGyro,30,joueur_03,match_20220807,MT1,3.46093,4.28002,3.29163,17.0256,5.50423,11.316,0.620293,1.05173,1.88191,3.96047,8.70956,
ACC X,45,joueur_03,match_20220807,MT1,-0.0643811,0.283543,-0.719015,12.7175,0.29076,0.804568,-0.335144,-0.187945,-0.0599907,0.0624967,0.20492,
ACC Y,45,joueur_03,match_20220807,MT1,-0.899491,0.580026,0.00751317,1.87943,1.07029,2.22065,-1.4617,-1.11896,-0.923359,-0.770366,-0.0196978,
ACC Z,45,joueur_03,match_20220807,MT1,-0.336425,0.30025,-1.29566,4.46082,0.450923,0.950248,-0.761575,-0.446914,-0.260373,-0.163234,-0.0759316,
GYRO X,45,joueur_03,match_20220807,MT1,5.27783,33.8497,0.158034,8.21478,34.2587,98.2239,-27.6159,-9.57463,5.1552,19.9633,38.2396,
GYRO Y,45,joueur_03,match_20220807,MT1,2.55984,73.8106,0.0235718,2.36909,73.855,262.881,-81.1702,-27.3067,2.41211,32.231,85.883,
GYRO Z,45,joueur_03,match_20220807,MT1,3.80703,41.6626,0.0788026,5.93528,41.8361,133.491,-34.7511,-12.7612,3.20967,20.8204,43.1512,
NormeGradAcc,45,joueur_03,match_20220807,MT1,0.033703,0.0416055,2.20772,5.44794,0.0535435,0.124685,0.00425579,0.00779652,0.0167581,0.0396846,0.0926666,0.14279178338001866
NormeGradGyro,45,joueur_03,match_20220807,MT1,3.46882,3.87255,2.60914,9.47047,5.19898,10.9166,0.703113,1.16029,1.98258,4.1417,8.54045,
ACC X,15,joueur_03,match_20220807,MT2,-0.0254095,0.320943,0.225768,7.68035,0.321948,1.02099,-0.324848,-0.172411,-0.0430099,0.0868336,0.283208,
ACC Y,15,joueur_03,match_20220807,MT2,-0.872637,0.630884,-0.12065,1.86435,1.07681,2.36714,-1.52004,-1.09343,-0.917916,-0.713789,0.0523287,
ACC Z,15,joueur_03,match_20220807,MT2,-0.325045,0.334412,-0.0579012,8.69259,0.466353,1.01174,-0.764559,-0.465084,-0.273457,-0.160946,-0.0228468,
GYRO X,15,joueur_03,match_20220807,MT2,5.91479,39.3486,0.256613,10.3168,39.7907,113.717,-29.8801,-9.154,5.7043,20.831,41.0846,
GYRO Y,15,joueur_03,match_20220807,MT2,2.92158,77.6737,0.0173994,4.49111,77.7287,270.834,-82.3584,-27.414,3.33568,33.8304,87.6681,
GYRO Z,15,joueur_03,match_20220807,MT2,4.64334,45.6125,0.0257999,8.41094,45.8482,143.262,-39.5095,-13.2276,4.60225,23.2466,47.6812,
NormeGradAcc,15,joueur_03,match_20220807,MT2,0.0360413,0.0469635,2.24899,5.69316,0.0591992,0.138725,0.00347878,0.00682287,0.0163452,0.0445932,0.102121,0.15788515406162465
NormeGradGyro,15,joueur_03,match_20220807,MT2,3.97897,4.86811,2.92477,12.5336,6.28735,13.0079,0.64629,1.12676,2.11688,4.88084,9.84606,
ACC X,15,joueur_09,match_20220807,MT1,0.0371124,0.307957,1.06779,31.365,0.310185,0.87845,-0.2931,-0.132675,0.0268695,0.202055,0.358773,
